Name,BirthYear,EyeColor,Gender,HairColor,Height,Mass,SkinColor,Homeworld,Url,Created,Edited,Films,Starships,Vehicles,Species
Wedge Antilles,21BBY,hazel,male,brown,170,77,fair,https://swapi.dev/api/planets/22/,https://swapi.dev/api/people/18/,12/12/2014 11:08:06,12/20/2014 21:17:50,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/,https://swapi.dev/api/starships/12/,https://swapi.dev/api/vehicles/14/,
Jek Tono Porkins,unknown,blue,male,brown,180,110,fair,https://swapi.dev/api/planets/26/,https://swapi.dev/api/people/19/,12/12/2014 11:16:56,12/20/2014 21:17:50,https://swapi.dev/api/films/1/,https://swapi.dev/api/starships/12/,,
Yoda,896BBY,brown,male,white,66,17,green,https://swapi.dev/api/planets/28/,https://swapi.dev/api/people/20/,12/15/2014 12:26:01,12/20/2014 21:17:50,https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/; https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,,,https://swapi.dev/api/species/6/
Palpatine,82BBY,yellow,male,grey,170,75,pale,https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/21/,12/15/2014 12:48:05,12/20/2014 21:17:50,https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/; https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,,,
Boba Fett,31.5BBY,brown,male,black,183,78.2,fair,https://swapi.dev/api/planets/10/,https://swapi.dev/api/people/22/,12/15/2014 12:49:32,12/20/2014 21:17:50,https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/; https://swapi.dev/api/films/5/,https://swapi.dev/api/starships/21/,,
IG-88,15BBY,red,none,none,200,140,metal,https://swapi.dev/api/planets/28/,https://swapi.dev/api/people/23/,12/15/2014 12:51:10,12/20/2014 21:17:50,https://swapi.dev/api/films/2/,,,https://swapi.dev/api/species/2/
Bossk,53BBY,red,male,none,190,113,green,https://swapi.dev/api/planets/29/,https://swapi.dev/api/people/24/,12/15/2014 12:53:49,12/20/2014 21:17:50,https://swapi.dev/api/films/2/,,,https://swapi.dev/api/species/7/
Lando Calrissian,31BBY,brown,male,black,177,79,dark,https://swapi.dev/api/planets/30/,https://swapi.dev/api/people/25/,12/15/2014 12:56:32,12/20/2014 21:17:50,https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/,https://swapi.dev/api/starships/10/,,
Lobot,37BBY,blue,male,none,175,79,light,https://swapi.dev/api/planets/6/,https://swapi.dev/api/people/26/,12/15/2014 13:01:57,12/20/2014 21:17:50,https://swapi.dev/api/films/2/,,,
Ackbar,41BBY,orange,male,none,180,83,brown mottle,https://swapi.dev/api/planets/31/,https://swapi.dev/api/people/27/,12/18/2014 11:07:50,12/20/2014 21:17:50,https://swapi.dev/api/films/3/,,,https://swapi.dev/api/species/8/
Mon Mothma,48BBY,blue,female,auburn,150,unknown,fair,https://swapi.dev/api/planets/32/,https://swapi.dev/api/people/28/,12/18/2014 11:12:38,12/20/2014 21:17:50,https://swapi.dev/api/films/3/,,,
Arvel Crynyd,unknown,brown,male,brown,unknown,unknown,fair,https://swapi.dev/api/planets/28/,https://swapi.dev/api/people/29/,12/18/2014 11:16:33,12/20/2014 21:17:50,https://swapi.dev/api/films/3/,https://swapi.dev/api/starships/28/,,
Wicket Systri Warrick,8BBY,brown,male,brown,88,20,brown,https://swapi.dev/api/planets/7/,https://swapi.dev/api/people/30/,12/18/2014 11:21:58,12/20/2014 21:17:50,https://swapi.dev/api/films/3/,,,https://swapi.dev/api/species/9/
Nien Nunb,unknown,black,male,none,160,68,grey,https://swapi.dev/api/planets/33/,https://swapi.dev/api/people/31/,12/18/2014 11:26:18,12/20/2014 21:17:50,https://swapi.dev/api/films/3/,https://swapi.dev/api/starships/10/,,https://swapi.dev/api/species/10/
Qui-Gon Jinn,92BBY,blue,male,brown,193,89,fair,https://swapi.dev/api/planets/28/,https://swapi.dev/api/people/32/,12/19/2014 16:54:53,12/20/2014 21:17:50,https://swapi.dev/api/films/4/,,https://swapi.dev/api/vehicles/38/,
Nute Gunray,unknown,red,male,none,191,90,mottled green,https://swapi.dev/api/planets/18/,https://swapi.dev/api/people/33/,12/19/2014 17:05:57,12/20/2014 21:17:50,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,,,https://swapi.dev/api/species/11/
Finis Valorum,91BBY,blue,male,blond,170,unknown,fair,https://swapi.dev/api/planets/9/,https://swapi.dev/api/people/34/,12/19/2014 17:21:45,12/20/2014 21:17:50,https://swapi.dev/api/films/4/,,,
Padmé Amidala,46BBY,brown,female,brown,185,45,light,https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/35/,12/19/2014 17:28:26,12/20/2014 21:17:50,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,https://swapi.dev/api/starships/39/; https://swapi.dev/api/starships/49/; https://swapi.dev/api/starships/64/,,
Jar Jar Binks,52BBY,orange,male,none,196,66,orange,https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/36/,12/19/2014 17:29:32,12/20/2014 21:17:50,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/,,,https://swapi.dev/api/species/12/
Roos Tarpals,unknown,orange,male,none,224,82,grey,https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/37/,12/19/2014 17:32:56,12/20/2014 21:17:50,https://swapi.dev/api/films/4/,,,https://swapi.dev/api/species/12/
Rugor Nass,unknown,orange,male,none,206,unknown,green,https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/38/,12/19/2014 17:33:38,12/20/2014 21:17:50,https://swapi.dev/api/films/4/,,,https://swapi.dev/api/species/12/
Ric Olié,unknown,blue,male,brown,183,unknown,fair,https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/39/,12/19/2014 17:45:01,12/20/2014 21:17:50,https://swapi.dev/api/films/4/,https://swapi.dev/api/starships/40/,,
Watto,unknown,yellow,male,black,137,unknown,"blue, grey",https://swapi.dev/api/planets/34/,https://swapi.dev/api/people/40/,12/19/2014 17:48:54,12/20/2014 21:17:50,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/,,,https://swapi.dev/api/species/13/
Sebulba,unknown,orange,male,none,112,40,"grey, red",https://swapi.dev/api/planets/35/,https://swapi.dev/api/people/41/,12/19/2014 17:53:02,12/20/2014 21:17:50,https://swapi.dev/api/films/4/,,,https://swapi.dev/api/species/14/
Quarsh Panaka,62BBY,brown,male,black,183,unknown,dark,https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/42/,12/19/2014 17:55:43,12/20/2014 21:17:50,https://swapi.dev/api/films/4/,,,
Shmi Skywalker,72BBY,brown,female,black,163,unknown,fair,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/43/,12/19/2014 17:57:41,12/20/2014 21:17:50,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/,,,
Darth Maul,54BBY,yellow,male,none,175,80,red,https://swapi.dev/api/planets/36/,https://swapi.dev/api/people/44/,12/19/2014 18:00:41,12/20/2014 21:17:50,https://swapi.dev/api/films/4/,https://swapi.dev/api/starships/41/,https://swapi.dev/api/vehicles/42/,https://swapi.dev/api/species/22/
Bib Fortuna,unknown,pink,male,none,180,unknown,pale,https://swapi.dev/api/planets/37/,https://swapi.dev/api/people/45/,12/20/2014 09:47:02,12/20/2014 21:17:50,https://swapi.dev/api/films/3/,,,https://swapi.dev/api/species/15/
Ayla Secura,48BBY,hazel,female,none,178,55,blue,https://swapi.dev/api/planets/37/,https://swapi.dev/api/people/46/,12/20/2014 09:48:01,12/20/2014 21:17:50,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,,,https://swapi.dev/api/species/15/
Ratts Tyerel,unknown,unknown,male,none,79,15,"grey, blue",https://swapi.dev/api/planets/38/,https://swapi.dev/api/people/47/,12/20/2014 09:53:15,12/20/2014 21:17:50,https://swapi.dev/api/films/4/,,,https://swapi.dev/api/species/16/
Dud Bolt,unknown,yellow,male,none,94,45,"blue, grey",https://swapi.dev/api/planets/39/,https://swapi.dev/api/people/48/,12/20/2014 09:57:31,12/20/2014 21:17:50,https://swapi.dev/api/films/4/,,,https://swapi.dev/api/species/17/
Gasgano,unknown,black,male,none,122,unknown,"white, blue",https://swapi.dev/api/planets/40/,https://swapi.dev/api/people/49/,12/20/2014 10:02:12,12/20/2014 21:17:50,https://swapi.dev/api/films/4/,,,https://swapi.dev/api/species/18/
Ben Quadinaros,unknown,orange,male,none,163,65,"grey, green, yellow",https://swapi.dev/api/planets/41/,https://swapi.dev/api/people/50/,12/20/2014 10:08:33,12/20/2014 21:17:50,https://swapi.dev/api/films/4/,,,https://swapi.dev/api/species/19/
Mace Windu,72BBY,brown,male,none,188,84,dark,https://swapi.dev/api/planets/42/,https://swapi.dev/api/people/51/,12/20/2014 10:12:30,12/20/2014 21:17:50,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,,,
Ki-Adi-Mundi,92BBY,yellow,male,white,198,82,pale,https://swapi.dev/api/planets/43/,https://swapi.dev/api/people/52/,12/20/2014 10:15:32,12/20/2014 21:17:50,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,,,https://swapi.dev/api/species/20/
Kit Fisto,unknown,black,male,none,196,87,green,https://swapi.dev/api/planets/44/,https://swapi.dev/api/people/53/,12/20/2014 10:18:57,12/20/2014 21:17:50,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,,,https://swapi.dev/api/species/21/
Eeth Koth,unknown,brown,male,black,171,unknown,brown,https://swapi.dev/api/planets/45/,https://swapi.dev/api/people/54/,12/20/2014 10:26:47,12/20/2014 21:17:50,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/6/,,,https://swapi.dev/api/species/22/
Adi Gallia,unknown,blue,female,none,184,50,dark,https://swapi.dev/api/planets/9/,https://swapi.dev/api/people/55/,12/20/2014 10:29:11,12/20/2014 21:17:50,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/6/,,,https://swapi.dev/api/species/23/
Saesee Tiin,unknown,orange,male,none,188,unknown,pale,https://swapi.dev/api/planets/47/,https://swapi.dev/api/people/56/,12/20/2014 10:32:11,12/20/2014 21:17:50,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/6/,,,https://swapi.dev/api/species/24/
Yarael Poof,unknown,yellow,male,none,264,unknown,white,https://swapi.dev/api/planets/48/,https://swapi.dev/api/people/57/,12/20/2014 10:34:48,12/20/2014 21:17:50,https://swapi.dev/api/films/4/,,,https://swapi.dev/api/species/25/
Plo Koon,22BBY,black,male,none,188,80,orange,https://swapi.dev/api/planets/49/,https://swapi.dev/api/people/58/,12/20/2014 10:49:19,12/20/2014 21:17:50,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,https://swapi.dev/api/starships/48/,,https://swapi.dev/api/species/26/
Mas Amedda,unknown,blue,male,none,196,unknown,blue,https://swapi.dev/api/planets/50/,https://swapi.dev/api/people/59/,12/20/2014 10:53:26,12/20/2014 21:17:50,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/,,,https://swapi.dev/api/species/27/
Gregar Typho,unknown,brown,male,black,185,85,dark,https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/60/,12/20/2014 11:10:10,12/20/2014 21:17:50,https://swapi.dev/api/films/5/,https://swapi.dev/api/starships/39/,,
Cordé,unknown,brown,female,brown,157,unknown,light,https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/61/,12/20/2014 11:11:39,12/20/2014 21:17:50,https://swapi.dev/api/films/5/,,,
Cliegg Lars,82BBY,blue,male,brown,183,unknown,fair,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/62/,12/20/2014 15:59:03,12/20/2014 21:17:50,https://swapi.dev/api/films/5/,,,
Poggle the Lesser,unknown,yellow,male,none,183,80,green,https://swapi.dev/api/planets/11/,https://swapi.dev/api/people/63/,12/20/2014 16:40:43,12/20/2014 21:17:50,https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,,,https://swapi.dev/api/species/28/
Luminara Unduli,58BBY,blue,female,black,170,56.2,yellow,https://swapi.dev/api/planets/51/,https://swapi.dev/api/people/64/,12/20/2014 16:45:53,12/20/2014 21:17:50,https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,,,https://swapi.dev/api/species/29/
Barriss Offee,40BBY,blue,female,black,166,50,yellow,https://swapi.dev/api/planets/51/,https://swapi.dev/api/people/65/,12/20/2014 16:46:40,12/20/2014 21:17:50,https://swapi.dev/api/films/5/,,,https://swapi.dev/api/species/29/
Dormé,unknown,brown,female,brown,165,unknown,light,https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/66/,12/20/2014 16:49:14,12/20/2014 21:17:50,https://swapi.dev/api/films/5/,,,https://swapi.dev/api/species/1/
Dooku,102BBY,brown,male,white,193,80,fair,https://swapi.dev/api/planets/52/,https://swapi.dev/api/people/67/,12/20/2014 16:52:14,12/20/2014 21:17:50,https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,,https://swapi.dev/api/vehicles/55/,https://swapi.dev/api/species/1/
Bail Prestor Organa,67BBY,brown,male,black,191,unknown,tan,https://swapi.dev/api/planets/2/,https://swapi.dev/api/people/68/,12/20/2014 16:53:08,12/20/2014 21:17:50,https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,,,https://swapi.dev/api/species/1/
Jango Fett,66BBY,brown,male,black,183,79,tan,https://swapi.dev/api/planets/53/,https://swapi.dev/api/people/69/,12/20/2014 16:54:41,12/20/2014 21:17:50,https://swapi.dev/api/films/5/,,,
Zam Wesell,unknown,yellow,female,blonde,168,55,"fair, green, yellow",https://swapi.dev/api/planets/54/,https://swapi.dev/api/people/70/,12/20/2014 16:57:44,12/20/2014 21:17:50,https://swapi.dev/api/films/5/,,https://swapi.dev/api/vehicles/45/,https://swapi.dev/api/species/30/
Dexter Jettster,unknown,yellow,male,none,198,102,brown,https://swapi.dev/api/planets/55/,https://swapi.dev/api/people/71/,12/20/2014 17:28:27,12/20/2014 21:17:50,https://swapi.dev/api/films/5/,,,https://swapi.dev/api/species/31/
Lama Su,unknown,black,male,none,229,88,grey,https://swapi.dev/api/planets/10/,https://swapi.dev/api/people/72/,12/20/2014 17:30:50,12/20/2014 21:17:50,https://swapi.dev/api/films/5/,,,https://swapi.dev/api/species/32/
Taun We,unknown,black,female,none,213,unknown,grey,https://swapi.dev/api/planets/10/,https://swapi.dev/api/people/73/,12/20/2014 17:31:21,12/20/2014 21:17:50,https://swapi.dev/api/films/5/,,,https://swapi.dev/api/species/32/
Jocasta Nu,unknown,blue,female,white,167,unknown,fair,https://swapi.dev/api/planets/9/,https://swapi.dev/api/people/74/,12/20/2014 17:32:51,12/20/2014 21:17:50,https://swapi.dev/api/films/5/,,,https://swapi.dev/api/species/1/
R4-P17,unknown,"red, blue",female,none,96,unknown,"silver, red",https://swapi.dev/api/planets/28/,https://swapi.dev/api/people/75/,12/20/2014 17:43:36,12/20/2014 21:17:50,https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,,,
Wat Tambor,unknown,unknown,male,none,193,48,"green, grey",https://swapi.dev/api/planets/56/,https://swapi.dev/api/people/76/,12/20/2014 17:53:52,12/20/2014 21:17:50,https://swapi.dev/api/films/5/,,,https://swapi.dev/api/species/33/
San Hill,unknown,gold,male,none,191,unknown,grey,https://swapi.dev/api/planets/57/,https://swapi.dev/api/people/77/,12/20/2014 17:58:17,12/20/2014 21:17:50,https://swapi.dev/api/films/5/,,,https://swapi.dev/api/species/34/
Shaak Ti,unknown,black,female,none,178,57,"red, blue, white",https://swapi.dev/api/planets/58/,https://swapi.dev/api/people/78/,12/20/2014 18:44:01,12/20/2014 21:17:50,https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,,,https://swapi.dev/api/species/35/
Grievous,unknown,"green, yellow",male,none,216,159,"brown, white",https://swapi.dev/api/planets/59/,https://swapi.dev/api/people/79/,12/20/2014 19:43:53,12/20/2014 21:17:50,https://swapi.dev/api/films/6/,https://swapi.dev/api/starships/74/,https://swapi.dev/api/vehicles/60/,https://swapi.dev/api/species/36/
Tarfful,unknown,blue,male,brown,234,136,brown,https://swapi.dev/api/planets/14/,https://swapi.dev/api/people/80/,12/20/2014 19:46:34,12/20/2014 21:17:50,https://swapi.dev/api/films/6/,,,https://swapi.dev/api/species/3/
Raymus Antilles,unknown,brown,male,brown,188,79,light,https://swapi.dev/api/planets/2/,https://swapi.dev/api/people/81/,12/20/2014 19:49:35,12/20/2014 21:17:50,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/6/,,,
Sly Moore,unknown,white,female,none,178,48,pale,https://swapi.dev/api/planets/60/,https://swapi.dev/api/people/82/,12/20/2014 20:18:37,12/20/2014 21:17:50,https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,,,
Tion Medon,unknown,black,male,none,206,80,grey,https://swapi.dev/api/planets/12/,https://swapi.dev/api/people/83/,12/20/2014 20:35:04,12/20/2014 21:17:50,https://swapi.dev/api/films/6/,,,https://swapi.dev/api/species/37/
