name,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,consumables,vehicle_class,created,edited,url,Films,Pilots
Bantha-II cargo skiff,Bantha-II,Ubrikkian Industries,8000,9.5,250,5,16,135000,1 day,repulsorcraft cargo skiff,12/18/2014 10:48:03,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/25/,https://swapi.dev/api/films/3/,
TIE/IN interceptor,Twin Ion Engine Interceptor,Sienar Fleet Systems,unknown,9.6,1250,1,0,75,2 days,starfighter,12/18/2014 10:50:28,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/26/,https://swapi.dev/api/films/3/,
Imperial Speeder Bike,74-Z speeder bike,Aratech Repulsor Company,8000,3,360,1,1,4,1 day,speeder,12/18/2014 11:20:04,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/30/,https://swapi.dev/api/films/3/,https://swapi.dev/api/people/1/; https://swapi.dev/api/people/5/
Vulture Droid,Vulture-class droid starfighter,"Haor Chall Engineering, Baktoid Armor Workshop",unknown,3.5,1200,0,0,0,none,starfighter,12/19/2014 17:09:53,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/33/,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/6/,
Multi-Troop Transport,Multi-Troop Transport,Baktoid Armor Workshop,138000,31,35,4,112,12000,unknown,repulsorcraft,12/19/2014 17:12:04,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/34/,https://swapi.dev/api/films/4/,
Armored Assault Tank,Armoured Assault Tank,Baktoid Armor Workshop,unknown,9.75,55,4,6,unknown,unknown,repulsorcraft,12/19/2014 17:13:29,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/35/,https://swapi.dev/api/films/4/,
Single Trooper Aerial Platform,Single Trooper Aerial Platform,Baktoid Armor Workshop,2500,2,400,1,0,none,none,repulsorcraft,12/19/2014 17:15:09,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/36/,https://swapi.dev/api/films/4/,
C-9979 landing craft,C-9979 landing craft,Haor Chall Engineering,200000,210,587,140,284,1800000,1 day,landing craft,12/19/2014 17:20:36,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/37/,https://swapi.dev/api/films/4/,
Tribubble bongo,Tribubble bongo,Otoh Gunga Bongameken Cooperative,unknown,15,85,1,2,1600,unknown,submarine,12/19/2014 17:37:37,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/38/,https://swapi.dev/api/films/4/,https://swapi.dev/api/people/10/; https://swapi.dev/api/people/32/
Sith speeder,FC-20 speeder bike,Razalon,4000,1.5,180,1,0,2,unknown,speeder,12/20/2014 10:09:56,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/42/,https://swapi.dev/api/films/4/,https://swapi.dev/api/people/44/
Zephyr-G swoop bike,Zephyr-G swoop bike,Mobquet Swoops and Speeders,5750,3.68,350,1,1,200,none,repulsorcraft,12/20/2014 16:24:16,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/44/,https://swapi.dev/api/films/5/,https://swapi.dev/api/people/11/
Koro-2 Exodrive airspeeder,Koro-2 Exodrive airspeeder,Desler Gizh Outworld Mobility Corporation,unknown,6.6,800,1,1,80,unknown,airspeeder,12/20/2014 17:17:33,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/45/,https://swapi.dev/api/films/5/,https://swapi.dev/api/people/70/
XJ-6 airspeeder,XJ-6 airspeeder,Narglatch AirTech prefabricated kit,unknown,6.23,720,1,1,unknown,unknown,airspeeder,12/20/2014 17:19:19,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/46/,https://swapi.dev/api/films/5/,https://swapi.dev/api/people/11/
LAAT/i,Low Altitude Assault Transport/infrantry,Rothana Heavy Engineering,unknown,17.4,620,6,30,170,unknown,gunship,12/20/2014 18:01:21,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/50/,https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,
LAAT/c,Low Altitude Assault Transport/carrier,Rothana Heavy Engineering,unknown,28.82,620,1,0,40000,unknown,gunship,12/20/2014 18:02:46,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/51/,https://swapi.dev/api/films/5/,
AT-TE,All Terrain Tactical Enforcer,"Rothana Heavy Engineering, Kuat Drive Yards",unknown,13.2,60,6,36,10000,21 days,walker,12/20/2014 18:10:07,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/53/,https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,
SPHA,Self-Propelled Heavy Artillery,Rothana Heavy Engineering,unknown,140,35,25,30,500,7 days,walker,12/20/2014 18:12:32,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/54/,https://swapi.dev/api/films/5/,
Flitknot speeder,Flitknot speeder,Huppla Pasa Tisc Shipwrights Collective,8000,2,634,1,0,unknown,unknown,speeder,12/20/2014 18:15:20,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/55/,https://swapi.dev/api/films/5/,https://swapi.dev/api/people/67/
Neimoidian shuttle,Sheathipede-class transport shuttle,Haor Chall Engineering,unknown,20,880,2,6,1000,7 days,transport,12/20/2014 18:25:44,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/56/,https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,
Geonosian starfighter,Nantex-class territorial defense,Huppla Pasa Tisc Shipwrights Collective,unknown,9.8,20000,1,0,unknown,unknown,starfighter,12/20/2014 18:34:12,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/57/,https://swapi.dev/api/films/5/,
Tsmeu-6 personal wheel bike,Tsmeu-6 personal wheel bike,Z-Gomot Ternbuell Guppat Corporation,15000,3.5,330,1,1,10,none,wheeled walker,12/20/2014 19:43:54,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/60/,https://swapi.dev/api/films/6/,https://swapi.dev/api/people/79/
Emergency Firespeeder,Fire suppression speeder,unknown,unknown,unknown,unknown,2,unknown,unknown,unknown,fire suppression ship,12/20/2014 19:50:58,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/62/,https://swapi.dev/api/films/6/,
Droid tri-fighter,tri-fighter,"Colla Designs, Phlac-Arphocc Automata Industries",20000,5.4,1180,1,0,0,none,droid starfighter,12/20/2014 20:05:19,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/67/,https://swapi.dev/api/films/6/,
Oevvaor jet catamaran,Oevvaor jet catamaran,Appazanna Engineering Works,12125,15.1,420,2,2,50,3 days,airspeeder,12/20/2014 20:20:53,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/69/,https://swapi.dev/api/films/6/,
Raddaugh Gnasp fluttercraft,Raddaugh Gnasp fluttercraft,Appazanna Engineering Works,14750,7,310,2,0,20,none,air speeder,12/20/2014 20:21:55,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/70/,https://swapi.dev/api/films/6/,
Clone turbo tank,HAVw A6 Juggernaut,Kuat Drive Yards,350000,49.4,160,20,300,30000,20 days,wheeled walker,12/20/2014 20:24:45,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/71/,https://swapi.dev/api/films/6/,
Corporate Alliance tank droid,NR-N99 Persuader-class droid enforcer,Techno Union,49000,10.96,100,0,4,none,none,droid tank,12/20/2014 20:26:55,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/72/,https://swapi.dev/api/films/6/,
Droid gunship,HMP droid gunship,"Baktoid Fleet Ordnance, Haor Chall Engineering",60000,12.3,820,0,0,0,none,airspeeder,12/20/2014 20:32:05,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/73/,https://swapi.dev/api/films/6/,
AT-RT,All Terrain Recon Transport,Kuat Drive Yards,40000,3.2,90,1,0,20,1 day,walker,12/20/2014 20:47:49,12/20/2014 21:30:21,https://swapi.dev/api/vehicles/76/,https://swapi.dev/api/films/6/,
